College Football 2021
FBS Rankings
"67%
  Power, 33% Merit"
Posted 17 October 2021

1.,Georgia,111.7
2.,Michigan,95.7
3.,Alabama,93.3
4.,Pittsburgh,92.8
5.,Ohio State,92.6
6.,Cincinnati,87.3
7.,Michigan State,83.3
8.,Oklahoma,82.7
9.,Iowa,82.6
10.,Penn State,82.4
11.,Mississippi,80.7
12.,Wake Forest,79.9
13.,Oklahoma State,78.4
14.,Kentucky,76.2
15.,Iowa State,75.9
16.,N. C. State,75.5
17.,Notre Dame,75.1
18.,Tennessee,74.3
19.,Auburn,73.0
20.,Baylor,72.9
21.,Florida,71.8
22.,Coastal Carolina,70.8
23.,Texas,69.5
24.,Clemson,68.0
25.,Nebraska,67.2
26.,Virginia,66.0
27.,Purdue,66.0
28.,Arkansas,65.5
29.,Texas A&M,65.5
30.,Arizona State,65.3
31.,SMU,65.1
32.,UT - San Antonio,65.0
33.,Minnesota,64.7
34.,Liberty,63.7
35.,Oregon,63.6
36.,Air Force,62.4
37.,Utah,62.0
38.,UCLA,61.5
39.,Oregon State,60.5
40.,Houston,60.3
41.,LSU,59.6
42.,Nevada,59.2
43.,Kansas State,59.1
44.,Fresno State,58.6
45.,Wisconsin,58.4
46.,San Diego State,58.2
47.,Western Michigan,58.1
48.,Louisville,57.8
49.,Louisiana,57.8
50.,UAB,56.1
51.,North Carolina,55.9
52.,Brigham Young,55.7
53.,TCU,55.4
54.,Boise State,55.2
55.,Appalachian State,55.1
56.,Georgia Tech,53.3
57.,Indiana,51.8
58.,Virginia Tech,51.8
59.,Mississippi State,51.6
60.,Rutgers,51.5
61.,Colorado State,51.5
62.,Syracuse,51.3
63.,Army,49.7
64.,Western Kentucky,49.4
65.,South Carolina,49.1
66.,Boston College,48.9
67.,Florida State,48.3
68.,Washington State,48.2
69.,Utah State,48.2
70.,Southern Cal,48.1
71.,Stanford,48.0
72.,Texas Tech,47.5
73.,Wyoming,47.2
74.,Northern Illinois,46.9
75.,Washington,46.5
76.,Ball State,46.1
77.,Miami-Florida,45.3
78.,Maryland,45.2
79.,Marshall,45.1
80.,Florida Atlantic,44.8
81.,West Virginia,43.5
82.,Toledo,43.4
83.,East Carolina,42.2
84.,Central Florida,41.6
85.,Memphis,40.8
86.,Texas - El Paso,40.0
87.,South Alabama,39.2
88.,Charlotte,38.6
89.,Louisiana Tech,38.5
90.,Middle Tennessee,38.4
91.,Northwestern,38.1
92.,Kent State,37.9
93.,Hawai'i,37.2
94.,Eastern Michigan,36.9
95.,Tulsa,36.6
96.,Illinois,36.3
97.,Troy,35.7
98.,Missouri,35.4
99.,Miami-Ohio,34.5
100.,Buffalo,34.0
101.,Central Michigan,33.4
102.,Georgia State,33.4
103.,California,33.2
104.,Colorado,31.7
105.,San Jose State,30.6
106.,UNLV,28.8
107.,Duke,27.6
108.,Temple,27.6
109.,UL - Monroe,27.3
110.,South Florida,27.0
111.,Bowling Green,27.0
112.,Navy,26.2
113.,Tulane,24.9
114.,Texas State,23.9
115.,Old Dominion,23.4
116.,Georgia Southern,20.9
117.,North Texas,16.2
118.,Ohio,16.1
119.,New Mexico,14.5
120.,Vanderbilt,14.3
121.,Akron,14.1
122.,Rice,12.8
123.,Arkansas State,11.8
124.,Massachusetts,10.6
125.,Southern Miss.,9.0
126.,New Mexico State,8.9
127.,Fla. International,8.1
128.,Connecticut,5.9
129.,Arizona,5.6
130.,Kansas,2.3


