,FBS vs FBS,Week 10,,,,FCS vs FCS,Week 10,,
,Favorite,Underdog,spread,O/U,,Favorite,Underdog,spread,O/U
,Air Force ,Army ,6.54,48.6,,@ Alabama A&M ,Mississippi Valley,0.68,56.5
,@ Alabama ,L S U ,24.54,62.1,,@ Albany,New Hampshire,6.09,42.5
,Appalachian St,@ Arkansas St,27.29,67.5,,Alcorn State,@ Bethune-Cookman ,2.43,54.6
,@ Arizona St,U S C ,12.58,57.9,,@ Austin Peay ,Eastern Illinois,21.50,47.3
,@ Arkansas ,Mississippi St,9.81,53.9,,Bryant,@ Central Connecticut,5.92,45.1
,Ball St,@ Akron,20.44,54.9,,@ Char Southern,North Carolina A&T,9.71,49.6
,Baylor ,@ T C U ,14.68,59.4,,Chattanooga,@ Wofford ,28.75,47.7
,California ,@ Arizona ,14.29,51.0,,@ Dartmouth ,Princeton,0.57,41.8
,@ Charlotte,Rice ,5.58,53.7,,@ Davidson ,Saint Thomas,1.78,49.4
,@ Cincinnati,Tulsa ,21.25,53.9,,Delaware St,@ Morgan St,1.99,42.0
,Coastal Carolina,@ Georgia Southern ,28.78,60.0,,Duquesne,@ Long Island,9.10,45.0
,Colorado St,@ Wyoming ,2.87,44.0,,@ East Tennessee St,V M I,6.33,56.5
,@ East Carolina ,Temple ,17.17,57.2,,@ Eastern Wash ,Montana St,10.65,63.3
,Florida ,@ South Carolina ,17.37,52.4,,Florida A&M,@ Southern U ,7.33,49.8
,@ Fresno St,Boise St,2.14,56.8,,Fordham,@ Georgetown ,21.84,55.0
,@ Georgia ,Missouri ,48.47,57.3,,Furman,@ Western Carolina ,1.06,51.0
,Houston ,@ South Florida ,14.62,55.2,,Gardner-Webb,@ Hampton ,5.64,60.9
,Iowa ,@ Northwestern ,16.39,41.0,,Grambling,@ Arkansas-Pine Bluff,6.95,46.8
,@ Iowa St,Texas ,10.29,61.0,,Harvard,@ Columbia ,6.65,41.2
,Kansas St,@ Kansas ,31.59,55.5,,@ Holy Cross,Lafayette,13.96,39.8
,@ Kent St,Northern Illinois ,0.94,66.4,,@ Idaho ,Southern Utah,4.10,59.9
,@ Louisiana,Georgia St,16.07,56.0,,@ Jackson St,Texas Southern,18.49,54.5
,@ Louisville ,Clemson ,0.35,49.6,,@ Jacksonville St,Abilene Christian,0.58,50.7
,Marshall,@ Florida Atlantic ,6.15,55.4,,@ James Madison ,Campbell,23.99,51.9
,@ Memphis ,S M U ,4.32,67.8,,Kennesaw St,@ Robert Morris ,22.37,45.8
,@ Miami-FL,Georgia Tech ,9.22,62.9,,Lehigh,@ Bucknell ,7.78,34.2
,Miami-OH,@ Ohio ,7.43,50.7,,@ Marist ,Drake,2.13,37.6
,@ Michigan ,Indiana ,28.75,52.2,,Merrimack,@ Wagner ,15.60,42.1
,Michigan St,@ Purdue ,9.42,51.7,,@ Monmouth ,North Alabama,11.15,57.2
,@ Minnesota ,Illinois ,16.71,45.6,,Montana,@ Northern Colorado,13.63,44.8
,@ Mississippi,Liberty,9.84,66.1,,@ Murray St,Tennessee Tech,7.77,43.1
,@ Nevada ,San Jose St,15.08,53.2,,Nicholls,@ McNeese ,2.22,61.8
,North Carolina St,@ Florida St,0.99,54.0,,Norfolk State,@ NC Central ,5.87,54.7
,North Texas,@ Southern Miss ,7.65,50.5,,@ North Dakota ,Youngstown St,16.34,53.2
,@ Notre Dame ,Navy ,26.98,48.1,,@ Northern Arizona ,UC-Davis,3.45,56.2
,Ohio St,@ Nebraska ,12.98,61.4,,Northern Iowa,@ Illinois St,20.88,39.8
,Oklahoma St,@ West Virginia ,7.12,49.3,,@ Northwestern St,Houston Baptist,8.24,57.4
,Old Dominion,@ Florida Int'l ,9.28,55.9,,@ Pennsylvania,Cornell,3.16,43.4
,Oregon ,@ Washington ,9.99,51.6,,@ Prairie View ,Alabama St,26.29,46.5
,Oregon St,@ Colorado,18.17,51.9,,@ Richmond ,Towson,8.48,41.9
,Penn St,@ Maryland ,14.74,53.6,,@ Sacramento St,Cal Poly,29.01,54.9
,Pittsburgh ,@ Duke ,27.09,65.0,,@ Saint Francis PA ,Sacred Heart,8.91,37.1
,San Diego St,@ Hawai'i ,9.63,52.9,,@ Sam Houston ,Dixie St,32.92,57.3
,Tennessee ,@ Kentucky ,0.47,53.7,,@ Samford ,The Citadel,8.42,67.8
,@ Texas A&M ,Auburn ,1.47,50.8,,@ San Diego,Morehead St,7.83,57.0
,@ Texas St,U L M,3.57,58.7,,SE Louisiana,@ Incarnate Word,0.45,75.0
,@ Toledo ,Eastern Michigan ,13.61,53.4,,@ South Carolina St,Howard,8.21,50.4
,@ Troy ,South Alabama,4.77,46.6,,South Dakota,@ Western Illinois ,10.18,53.1
,@ U A B,Louisiana Tech,4.65,51.4,,@ South Dakota St,North Dakota St,3.29,46.7
,@ U C F,Tulane ,17.48,66.9,,@ Southern Illinois,Missouri St,5.08,55.9
,U N L V ,@ New Mexico ,6.22,46.8,,@ Stephen F Austin ,Eastern Kentucky,4.78,49.7
,U T S A,@ U T E P,8.92,51.5,,@ Stetson,Dayton,0.42,58.6
,Utah ,@ Stanford ,9.83,54.7,,Stony Brook,@ Maine ,1.42,47.4
,Utah St,@ New Mexico St,23.57,64.5,,@ Tarleton St,Lamar,20.14,53.7
,Virginia Tech,@ Boston College ,6.26,49.1,,@ UT-Martin ,Tennessee St,7.27,47.8
,Wake Forest ,@ North Carolina ,0.73,70.7,,@ Valparaiso ,Presbyterian,21.93,61.5
,@ Western Kentucky ,Middle Tennessee ,17.44,61.7,,Villanova,@ Elon ,13.90,48.1
,@ Western Michigan ,Central Michigan ,13.96,59.8,,@ Weber St ,Portland St,18.50,51.6
,Wisconsin ,@ Rutgers ,13.89,39.3,,William & Mary,@ Delaware ,14.06,40.8
,,,,,,Yale,@ Brown ,20.48,60.2
,FBS vs FCS,Week 10,,,,,,,
,Favorite,Underdog,spread,O/U,,FCS vs Non D-I,Week 10,,
,@ Brigham Young ,Idaho St,44.19,56.0,,Favorite,Underdog,spread,O/U
,@ Massachusetts,Rhode Island,2.99,53.3,,@ Central Arkansas ,Texas Wesleyan,65.30,
